size,text
54,楊世紹
24,new
22,楊
14,Mr.
13,president
12,say
11,state
10,J.
10,day
10,president-elect
10,some
9,over
9,use
9,year
8,Here
8,politics
8,report
7,Obama
7,Tuesday
7,country
7,know
7,need
7,work
6,Bannon
6,Briefing
6,United
6,back
6,deal
6,election
6,start
6,time
5,Calls
5,Critic
5,Death
5,Group
5,Ifill
5,Muslim
5,Russia
5,Stephen
5,U.S
5,administration
5,after
5,business
5,end
5,government
5,into
5,make
5,more
5,other
5,people
5,way
5,while
4,Gwen
4,House
4,Today
4,York
4,all
4,change
4,dies
4,diplomat
4,financial
4,first
4,fund
4,leader
4,like
4,look
4,meet
4,month
4,name
4,nation
4,now
4,one
4,put
4,service
4,take
4,term
4,than
4,two
4,up
4,visit
4,win
4,word
3,American
3,Bars
3,China
3,Cuba
3,Edition
3,Europe
3,Face
3,James
3,Keep
3,Kennedy
3,March
3,Offers
3,Phone
3,Policy
3,Signs
3,Step
3,Syria
3,TV
3,Text
3,Washington
3,White
3,against
3,amid
3,analysts
3,animal
3,app
3,become
3,before
3,blame
3,blood
3,bridge
3,building
3,cancer
3,chief
3,choice
3,city
3,community
3,company
3,crime
3,down
3,economic
3,effort
3,even
3,expect
3,experts
3,father
3,final
3,follow
3,former
3,game
3,global
3,grow
3,hate
3,head
3,home
3,hope
3,last
3,many
3,might
3,most
3,music
3,next
3,open
3,part
3,past
3,politician
3,prison
3,remain
3,rise
3,season
3,sent
3,show
3,site
3,social
3,spoke
3,talk
3,through
3,ties
3,warns
3,were
3,world
2,Add
2,Al
2,America
2,Asia
2,Asks
2,Bans
2,Base
2,Beijing
2,Breitbart
2,California
2,Chabon
2,Charleston
2,Climate
2,Court
2,Crash
2,DealBook
2,Divide
2,Election
2,Evening
2,Farage
2,Files
2,Fires
2,Fulmer
2,General
2,Giuliani
2,Greece
2,Homeowners
2,Hurricane
2,Imax
2,Investors
2,Iran
2,Jean
2,John
2,Johnson
2,K.
2,Kerry
2,Label
2,Labine
2,Manhattan
2,Martha
2,Marvel
2,Mean
2,Mexico
2,Michael
2,Minority
2,Monday
2,Morsi
2,Ms.
2,NBC
2,Night
2,No
2,Nonfiction
2,Ocean
2,Off-Season
2,Official
2,One
2,PBS
2,Pacific
2,Pact
2,Paul
2,Posits
2,Project
2,Putin
2,Qaeda
2,Raise
2,Right
2,Rules
2,Ryan
2,Seager
2,Sentence
2,Signals
2,Smith
2,So
2,Special
2,Speech
2,Stock
2,Support
2,Surge
2,Tale
2,Theory
2,Transition
2,Tribe
2,Urge
2,Vineyard
2,Wants
2,Why
2,Yemeni
2,abuse
2,accord
2,across
2,adding
2,affairs
2,ahead
2,alarm
2,allow
2,anxious
2,appoint
2,area
2,asteroid
2,attacks
2,attract
2,audit
2,begin
2,being
2,big
2,bond
2,book
2,broken
2,ca
2,car
2,carry-on
2,case
2,center
2,channel
2,chaplains
2,comment
2,complex
2,conflicts
2,conspiracy
2,conventions
2,convicted
2,cost
2,covering
2,credits
2,cross
2,debate
2,decision
2,departure
2,describe
2,developer
2,discussed
2,donated
2,door
2,during
2,ever
2,fake
2,family
2,fears
2,find
2,fit
2,foreign
2,foundations
2,fuels
2,gay
2,get
2,give
2,given
2,go
2,had
2,hedge
2,heightened
2,help
2,hide
2,high
2,himself
2,hold
2,hot
2,immigrants
2,included
2,industry
2,influence
2,injury
2,internal
2,investigates
2,investment
2,job
2,journalist
2,lake
2,life
2,lives
2,love
2,managers
2,media
2,members
2,men
2,million
2,murder
2,network
2,number
2,official
2,often
2,opera
2,organic
2,out
2,placed
2,planned
2,plant
2,police
2,post
2,power
2,produce
2,provide
2,public
2,question
2,racist
2,ratings
2,recent
2,relief
2,religious
2,removals
2,returns
2,revealed
2,review
2,rip
2,said
2,secure
2,senior
2,series
2,since
2,something
2,still
2,story
2,students
2,system
2,team
2,terrorist
2,test
2,top
2,travel
2,trip
2,turning
2,unanimous
2,urge
2,version
2,victory
2,whom
2,wisdom
2,wo
2,women
2,worry
2,wrestles
2,writer
2,young
